Gender,Age,Occupation,Annual Income,Needle Stick Injuries,Knowledge and Training on Needle Stick Injury Prevention,Availability of Safety Equipment,Adherence to Safety Protocols,Work Environment Factors
2,2,2,3,4.25,4.75,4,4,4.75
1,3,1,5,3.75,4,4,3.75,3.75
2,1,1,5,4,4,4,4,4
2,2,1,4,4.25,3.75,4,4.25,4
1,2,1,5,4.75,2.75,4,4,4.25
1,3,2,5,4.25,4,4.5,3.75,4.25
1,2,2,5,4,4,4,4.25,3.75
2,1,2,4,3,3,3.25,3.75,3.25
2,2,2,5,4.25,4.5,4.25,4.75,4.5
2,2,1,3,3,2.25,2.75,2.5,3
2,2,1,4,4.5,4.5,4,4.75,4.75
2,2,1,4,4.75,4.75,4.5,4.75,4.5
2,2,1,2,1.75,1,1.5,1.25,1.25
2,2,1,3,4,4,4,4,4.25
2,2,1,4,4.5,4,4,4,4.25
2,3,2,5,5,5,5,5,5
2,2,2,5,3.75,4,4.25,4,4
2,2,2,1,1,1,1,1,1
2,2,2,4,4,4,4,4,4
1,2,2,1,1.75,1,1,1,1.25
1,1,2,4,4.5,4,3.75,4.5,4.5
2,2,2,5,5,5,5,5,5
1,2,2,4,3.75,3.25,4,3.75,4.25
1,2,2,3,4,4.25,3.5,3.75,4.25
1,2,2,3,4.5,3,3,4,3.5
1,2,1,5,4.5,4.25,5,4.5,4.25
2,2,2,4,4.5,4.25,4.25,4.5,4.75
1,2,2,3,4.25,4.5,4,4.25,4.25
1,3,2,5,5,5,5,5,5
2,3,3,4,4,4,4,4,4
1,1,1,3,3,3,3,3,3
1,2,1,5,4.25,4.25,4.5,3.25,4.25
1,1,2,3,2.5,3,3,2.5,2.75
1,3,3,5,4.75,4.75,4.5,5,4.75
2,4,2,1,1,1.5,1,1,1
2,5,2,4,4,3,3.5,4,4
2,1,1,2,4.25,3.5,3.25,3.75,4
2,3,2,4,4.5,4.25,4.5,4.25,4.5
2,2,1,4,4.75,4,4,4.5,4.25
1,3,1,3,4,3.75,3.5,4.25,3.75
2,1,1,3,4,4,3.25,4.5,4
2,2,1,3,4.5,3.75,3.75,4.5,4.25
1,2,1,5,2,4.5,4.25,2.75,3.5
1,3,2,4,4,4,4,4.25,4
1,2,2,5,5,4,4.25,4.5,4.75
2,1,2,3,3,3,3,3,3
2,2,2,5,5,5,5,5,5
1,2,2,1,1.75,2,2,2,1.25
1,2,2,5,3.5,3,4.5,3.5,3.75
2,2,1,3,3.75,3,3,3.5,3.25
1,1,2,5,5,5,5,5,5
1,3,2,5,4.25,4.25,4.5,4.25,4.25
1,2,2,2,4.25,4.5,4,3.75,3.75
2,5,2,4,4.5,4.5,4.5,4.75,4.25
1,2,2,1,1,1,1,1,1
2,2,1,4,3,2.5,3.25,4,3.75
2,2,1,5,5,5,5,5,5
2,2,1,5,5,5,5,5,5
2,2,1,4,4,5,4.5,4.75,4.5
2,2,1,5,5,5,5,5,5
2,3,2,5,5,4.5,4.5,4,5
2,2,2,1,1.5,1.5,1,1.75,1.25
2,2,2,4,4,4,4,4,4
2,2,2,5,3.5,4.75,4.75,4.75,4
1,2,2,1,2,1.75,2,2,2
1,1,2,4,4.25,4,3.75,4,4
2,2,2,2,1.5,0.5,0.5,1.5,0.5
1,2,2,3,1,2,1.5,1,1.25
1,2,2,4,4.25,4.25,3.75,3.25,3.5
1,2,2,4,4.5,4.25,3.75,3.75,4.25
1,2,1,4,3.75,3.75,3.75,3.75,3.75
2,2,2,4,1.75,4.25,3.5,2.5,3.5
1,2,2,4,4,4,4,4,4
1,3,2,4,3.5,2.5,3.75,4,4
2,3,3,4,4.5,4,4,4,4.25
1,1,1,5,5,5,5,5,5
1,2,1,5,3.75,4,4.25,4,4
1,1,2,1,1,1,1,1,1
1,3,3,4,4,4,4,4,4
2,4,2,1,1.75,1,1,1,1.25
2,5,2,4,4.5,4,3.75,4.5,4.5
2,1,1,5,5,5,5,5,5
2,3,2,4,4,4,4,4,4
1,1,1,3,3,3,3,3,3
1,2,1,5,4.25,4.25,4.5,3.25,4.25
1,1,2,3,2.5,3,3,2.5,2.75
1,3,3,5,4.75,4.75,4.5,5,4.75
2,4,2,1,1,1.5,1,1,1
2,5,2,4,4,3,3.5,4,4
2,1,1,2,4.25,3.5,3.25,3.75,4
2,3,2,4,4.5,4.25,4.5,4.25,4.5
2,2,1,4,4.75,4,4,4.5,4.25
1,3,1,3,4,3.75,3.5,4.25,3.75
2,1,1,3,4,4,3.25,4.5,4
2,2,1,3,4.5,3.75,3.75,4.5,4.25
1,2,1,5,2,4.5,4.25,2.75,3.5
1,3,2,4,4,4,4,4.25,4
1,2,2,5,5,4,4.25,4.5,4.75
2,1,2,3,3,3,3,3,3
2,2,2,5,5,5,5,5,5
